%time,field.layout.data_offset,field.data0
1749437657516819367,0,291
1749437657516837153,0,292
1749437657516867727,0,291
1749437657516955347,0,291
1749437657516969815,0,292
1749437657516983047,0,293
1749437657517003649,0,292
1749437657517020401,0,292
1749437657520474037,0,292
1749437657520489299,0,291
1749437657520566033,0,293
1749437657520592022,0,292
1749437657520620673,0,291
1749437657520639339,0,292
1749437657520650617,0,293
1749437657520671939,0,292
1749437657520820494,0,292
1749437657520837367,0,292
1749437657520848246,0,293
1749437657520862486,0,292
1749437657520923209,0,292
1749437657520933119,0,292
1749437657520945544,0,292
1749437657520954603,0,292
1749437657524634934,0,290
1749437657524658354,0,286
1749437657524689321,0,292
1749437657524705983,0,292
1749437657524716998,0,292
1749437657524913029,0,291
1749437657524942051,0,292
1749437657524954613,0,291
1749437657524971142,0,292
1749437657525026451,0,293
1749437657525045435,0,292
1749437657525067507,0,292
1749437657525086791,0,292
1749437657525131169,0,292
1749437657525152570,0,292
1749437657528633036,0,292
1749437657528652260,0,292
1749437657528667671,0,291
1749437657528840177,0,292
1749437657528854060,0,293
1749437657528864369,0,292
1749437657528881812,0,293
1749437657529046984,0,292
1749437657529064757,0,292
1749437657529076869,0,292
1749437657529088041,0,293
1749437657529111668,0,293
1749437657529132582,0,292
1749437657529147295,0,292
1749437657529159108,0,292
1749437657529212187,0,293
1749437657532938858,0,292
1749437657532963261,0,292
1749437657532988207,0,292
1749437657533000164,0,293
1749437657533032490,0,292
1749437657533064142,0,293
1749437657533089664,0,292
1749437657533230754,0,292
1749437657533245103,0,293
1749437657533261343,0,291
1749437657533335662,0,292
1749437657533436659,0,291
1749437657533471883,0,287
1749437657533494533,0,292
1749437657533659192,0,295
1749437657533680692,0,292
1749437657536899909,0,293
1749437657536945353,0,292
1749437657536976506,0,292
1749437657537018914,0,293
1749437657537053318,0,290
1749437657537108046,0,292
1749437657537132598,0,292
1749437657537163938,0,293
1749437657537188078,0,293
1749437657537210752,0,292
1749437657537231466,0,293
1749437657537244961,0,290
1749437657537259434,0,292
1749437657537269878,0,291
1749437657537347975,0,292
1749437657537358146,0,293
1749437657541149463,0,292
1749437657541176702,0,292
1749437657541206636,0,291
1749437657541228602,0,292
