%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1750041702220741524,0,11601,109,-513,-2036
1750041702222621069,0,11601,109,-513,-2036
1750041702224633584,0,11601,109,-513,-2036
1750041702226585814,0,11601,109,-513,-2036
1750041702228600551,0,11601,109,-513,-2036
1750041702230577251,0,11601,109,-513,-2036
1750041702232695513,0,11601,109,-513,-2036
1750041702234563313,0,11601,109,-513,-2036
1750041702236539436,0,11601,109,-513,-2036
1750041702238528955,0,11601,109,-513,-2036
1750041702240491073,0,11601,109,-512,-2036
1750041702242536339,0,11601,109,-512,-2036
1750041702244550243,0,11601,109,-512,-2036
1750041702246528961,0,11601,109,-512,-2036
1750041702248626412,0,11601,109,-512,-2036
1750041702250558628,0,11601,109,-512,-2036
1750041702252501303,0,11601,109,-512,-2036
1750041702254555390,0,11601,109,-512,-2036
1750041702256530727,0,11601,109,-512,-2036
1750041702258582623,0,11601,109,-511,-2036
1750041702260595072,0,11602,109,-511,-2036
1750041702262605529,0,11602,109,-511,-2036
1750041702264537604,0,11602,109,-511,-2036
1750041702266636612,0,11602,109,-511,-2036
1750041702268553082,0,11601,109,-511,-2036
1750041702270485019,0,11601,109,-511,-2036
1750041702272580542,0,11601,109,-511,-2036
1750041702274538002,0,11602,109,-511,-2036
1750041702276497099,0,11602,109,-511,-2036
1750041702278472735,0,11601,109,-511,-2036
1750041702280562065,0,11601,109,-511,-2036
1750041702282525202,0,11601,109,-511,-2036
1750041702284516716,0,11602,109,-511,-2036
1750041702286517872,0,11601,109,-511,-2036
1750041702288520174,0,11601,109,-511,-2036
1750041702290490045,0,11602,109,-512,-2036
1750041702292480319,0,11601,109,-512,-2036
1750041702294483316,0,11601,109,-512,-2036
1750041702296505697,0,11601,109,-513,-2036
1750041702298439551,0,11601,109,-513,-2036
1750041702300451113,0,11601,109,-513,-2036
1750041702302438910,0,11602,109,-513,-2036
1750041702304427921,0,11602,108,-514,-2036
1750041702306519346,0,11601,108,-514,-2036
1750041702308460693,0,11602,108,-514,-2036
1750041702310447839,0,11602,108,-514,-2036
1750041702312561317,0,11602,108,-514,-2036
1750041702314552563,0,11602,108,-514,-2036
1750041702316507028,0,11602,108,-514,-2036
1750041702318555385,0,11602,108,-514,-2036
1750041702320467291,0,11602,108,-514,-2036
1750041702322511662,0,11602,108,-514,-2036
1750041702324385956,0,11602,107,-515,-2036
1750041702326535195,0,11602,107,-514,-2036
1750041702328384728,0,11602,107,-514,-2036
1750041702330496834,0,11602,107,-514,-2036
1750041702332478820,0,11602,107,-515,-2036
1750041702334406199,0,11602,107,-514,-2036
1750041702336448659,0,11602,107,-514,-2036
1750041702338448025,0,11602,107,-514,-2036
1750041702340504840,0,11602,107,-514,-2036
1750041702342549558,0,11601,107,-515,-2036
1750041702344464944,0,11601,106,-514,-2036
1750041702346385549,0,11601,106,-514,-2036
1750041702348367097,0,11601,106,-514,-2036
1750041702350342190,0,11601,106,-514,-2036
1750041702352391015,0,11602,106,-514,-2036
1750041702354337898,0,11601,106,-514,-2036
1750041702356363412,0,11602,106,-514,-2036
1750041702358406564,0,11601,106,-514,-2036
1750041702360340301,0,11601,106,-514,-2036
1750041702362332555,0,11601,106,-514,-2036
1750041702364343274,0,11601,106,-515,-2036
1750041702366357843,0,11601,106,-514,-2036
1750041702368369833,0,11601,106,-514,-2036
1750041702370305311,0,11601,106,-514,-2036
1750041702372332024,0,11601,106,-514,-2036
1750041702374323811,0,11601,106,-514,-2036
1750041702376354541,0,11601,106,-514,-2036
