%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1754277410567088358,0,-197,8215,-3935,9872
1754277410569132779,0,-196,8215,-3935,9872
1754277410571123374,0,-194,8211,-3923,9872
1754277410573257658,0,-192,8211,-3923,9872
1754277410575054850,0,-183,8219,-3914,9872
1754277410577097380,0,-182,8219,-3914,9872
1754277410579031821,0,-184,8219,-3929,9872
1754277410581002161,0,-182,8220,-3930,9873
1754277410583043085,0,-182,8220,-3914,9873
1754277410585050945,0,-181,8221,-3914,9874
1754277410587058231,0,-185,8222,-3913,9875
1754277410589146497,0,-184,8222,-3913,9875
1754277410591129267,0,-182,8223,-3913,9876
1754277410593111846,0,-180,8224,-3913,9877
1754277410595106658,0,-179,8225,-3931,9878
1754277410597067943,0,-178,8225,-3931,9878
1754277410599055619,0,-173,8226,-3931,9879
1754277410601136250,0,-172,8227,-3932,9880
1754277410603171470,0,-178,8228,-3916,9881
1754277410605095113,0,-177,8230,-3916,9883
1754277410607100841,0,-183,8208,-3910,9883
1754277410609037549,0,-182,8209,-3910,9884
1754277410611027800,0,-176,8233,-3924,9886
1754277410613004992,0,-175,8234,-3924,9887
1754277410615024983,0,-174,8234,-3923,9887
1754277410617028603,0,-173,8235,-3923,9888
1754277410619104468,0,-169,8237,-3930,9890
1754277410621102666,0,-167,8238,-3930,9891
1754277410623173233,0,-173,8240,-3929,9893
1754277410625117014,0,-172,8241,-3929,9894
1754277410627074735,0,-168,8243,-3929,9895
1754277410629072001,0,-166,8244,-3929,9896
1754277410631081340,0,-162,8245,-3929,9897
1754277410633118521,0,-161,8247,-3929,9899
1754277410635137899,0,-170,8248,-3934,9900
1754277410637124017,0,-169,8250,-3935,9902
1754277410639131710,0,-168,8251,-3935,9903
1754277410641113944,0,-168,8253,-3935,9905
1754277410643127126,0,-154,8253,-3935,9905
1754277410645113028,0,-153,8255,-3935,9907
1754277410647318943,0,-152,8256,-3935,9908
1754277410649124807,0,-165,8258,-3930,9910
1754277410651288902,0,-164,8259,-3930,9911
1754277410653175234,0,-169,8261,-3930,9913
1754277410655353519,0,-168,8262,-3931,9914
1754277410657187860,0,-160,8263,-3925,9915
1754277410659177039,0,-159,8264,-3926,9916
1754277410661149618,0,-161,8263,-3926,9918
1754277410663327840,0,-160,8264,-3926,9919
1754277410665129685,0,-170,8266,-3918,9921
1754277410667151212,0,-169,8267,-3918,9922
1754277410669125179,0,-173,8271,-3917,9923
1754277410671264311,0,-172,8272,-3917,9924
1754277410673090461,0,-170,8271,-3914,9926
1754277410675125799,0,-170,8272,-3914,9927
1754277410677083639,0,-169,8270,-3904,9929
1754277410679107433,0,-169,8271,-3904,9930
1754277410681119798,0,-163,8273,-3900,9932
1754277410683119562,0,-163,8273,-3900,9932
1754277410685106386,0,-169,8267,-3900,9934
1754277410687244709,0,-169,8268,-3899,9935
1754277410689122825,0,-170,8270,-3897,9937
1754277410691101374,0,-170,8271,-3897,9938
1754277410693096090,0,-172,8272,-3896,9939
1754277410695110661,0,-172,8273,-3896,9940
1754277410697119297,0,-172,8262,-3891,9942
1754277410699117712,0,-172,8263,-3891,9943
1754277410701104928,0,-172,8269,-3890,9944
1754277410703104083,0,-172,8270,-3889,9945
1754277410705131363,0,-171,8271,-3888,9946
1754277410707081875,0,-171,8272,-3887,9947
1754277410709066837,0,-157,8273,-3886,9948
1754277410711069484,0,-157,8273,-3885,9948
1754277410713090614,0,-162,8269,-3877,9949
1754277410715100022,0,-162,8269,-3876,9949
1754277410717120816,0,-164,8275,-3873,9950
1754277410719091876,0,-164,8275,-3872,9950
1754277410721097540,0,-162,8275,-3870,9950
1754277410723077517,0,-162,8276,-3868,9951
1754277410725098857,0,-161,8284,-3874,9951
1754277410727090218,0,-162,8284,-3873,9951
1754277410729118080,0,-158,8260,-3864,9951
1754277410731083224,0,-157,8261,-3862,9952
1754277410733153006,0,-157,8261,-3860,9952
1754277410735067721,0,-144,8272,-3858,9952
