%time,field.layout.data_offset,field.data0
1749302465034671537,0,317
1749302465034681412,0,316
1749302465034686675,0,316
1749302465034692202,0,315
1749302465034697010,0,315
1749302465034704003,0,316
1749302465034709109,0,322
1749302465038665516,0,316
1749302465038669447,0,316
1749302465038677421,0,316
1749302465038679529,0,318
1749302465038720867,0,317
1749302465038735775,0,316
1749302465038738992,0,317
1749302465038743108,0,314
1749302465038746275,0,316
1749302465038751251,0,316
1749302465038754385,0,316
1749302465038758493,0,316
1749302465038761807,0,317
1749302465038768823,0,316
1749302465038775753,0,319
1749302465042765021,0,317
1749302465042772072,0,316
1749302465042776529,0,316
1749302465042780073,0,316
1749302465042826190,0,318
1749302465042831729,0,316
1749302465042836604,0,317
1749302465042846316,0,316
1749302465042850391,0,316
1749302465042882060,0,316
1749302465042894760,0,316
1749302465042903262,0,316
1749302465042913125,0,318
1749302465042919357,0,316
1749302465042923942,0,316
1749302465042929214,0,316
1749302465046868804,0,316
1749302465046874989,0,316
1749302465046879254,0,315
1749302465046886125,0,315
1749302465046898993,0,316
1749302465046911855,0,319
1749302465046928723,0,315
1749302465046935428,0,316
1749302465046939844,0,316
1749302465046952491,0,319
1749302465046959893,0,316
1749302465046973429,0,317
1749302465046991758,0,316
1749302465046998891,0,316
1749302465047014857,0,317
1749302465051009664,0,316
1749302465051101202,0,316
1749302465051111827,0,316
1749302465051125506,0,318
1749302465051141522,0,316
1749302465051150600,0,316
1749302465051158584,0,316
1749302465051164062,0,316
1749302465051171009,0,316
1749302465051178176,0,313
1749302465051187285,0,316
1749302465051194096,0,316
1749302465051209662,0,315
1749302465051228060,0,316
1749302465051236440,0,316
1749302465051241037,0,316
1749302465055057056,0,316
1749302465055063390,0,324
1749302465055067364,0,316
1749302465055104625,0,316
1749302465055111420,0,315
1749302465055118030,0,317
1749302465055137051,0,316
1749302465055151467,0,316
1749302465055156569,0,316
1749302465055159483,0,315
1749302465055162956,0,316
1749302465055166648,0,316
1749302465055169811,0,316
1749302465055173959,0,315
1749302465059167665,0,316
1749302465059173734,0,314
1749302465059177506,0,317
1749302465059179526,0,316
1749302465059201040,0,316
1749302465059208089,0,315
1749302465059223971,0,316
1749302465059230741,0,316
1749302465059240410,0,316
1749302465059248160,0,316
1749302465059265483,0,316
1749302465059275429,0,318
1749302465059289317,0,316
1749302465059297848,0,316
1749302465059305082,0,314
1749302465059309971,0,316
1749302465063252006,0,272
1749302465063255239,0,315
1749302465063258541,0,316
1749302465063261562,0,316
1749302465063289350,0,318
1749302465063296996,0,316
1749302465063303606,0,316
1749302465063308868,0,316
1749302465063314189,0,317
1749302465063328590,0,316
1749302465063342726,0,316
1749302465063353106,0,316
1749302465063361629,0,269
1749302465063370410,0,316
1749302465063377191,0,316
1749302465063381928,0,316
1749302465067360187,0,315
1749302465067363473,0,315
1749302465067372308,0,316
1749302465067378241,0,310
