%time,field.data
1749302434141612593,4.0
1749302434151612660,4.0
1749302434161611997,4.0
1749302434171558356,4.0
1749302434181788558,4.0
1749302434191866207,4.0
1749302434201657971,4.0
1749302434211627307,4.0
1749302434221678119,4.0
1749302434231624405,4.0
1749302434241716963,4.0
1749302434251662150,4.0
1749302434261580047,4.0
1749302434271600768,4.0
1749302434281680377,4.0
1749302434291561448,4.0
1749302434301547113,4.0
1749302434311618065,4.0
1749302434321674201,4.0
1749302434331653548,4.0
1749302434341649954,4.0
1749302434351618693,4.0
1749302434361600362,4.0
1749302434371693521,4.0
1749302434381551576,4.0
1749302434391641412,4.0
1749302434401641651,4.0
1749302434411690987,4.0
1749302434421629219,4.0
1749302434431536261,4.0
1749302434441668180,4.0
1749302434451538619,4.0
1749302434461680128,4.0
1749302434471605546,4.0
1749302434481607388,4.0
1749302434491573262,4.0
1749302434501601569,4.0
1749302434511641041,4.0
1749302434521662420,4.0
1749302434531735674,4.0
1749302434541643891,4.0
1749302434551579872,4.0
1749302434561654073,4.0
1749302434571700284,4.0
1749302434581785119,4.0
1749302434591654118,4.0
1749302434601728646,4.0
1749302434611665545,4.0
1749302434621735592,4.0
1749302434631655182,4.0
1749302434641661792,4.0
1749302434651593370,4.0
1749302434661692782,4.0
1749302434671582062,4.0
1749302434681704527,4.0
1749302434691761417,4.0
1749302434701685580,4.0
1749302434711783949,4.0
1749302434721686392,4.0
1749302434731695411,4.0
1749302434741625737,4.0
1749302434751649048,4.0
1749302434761732962,4.0
1749302434771688967,4.0
1749302434781789063,4.0
1749302434791612500,4.0
1749302434801631731,4.0
1749302434811601008,4.0
1749302434821818445,4.0
1749302434831665674,4.0
1749302434841634573,4.0
1749302434851594356,4.0
1749302434861556647,4.0
1749302434871578285,4.0
1749302434881591639,4.0
1749302434891563652,4.0
1749302434901637507,4.0
1749302434911551567,4.0
1749302434921687361,4.0
1749302434931580534,4.0
1749302434941681956,4.0
1749302434951610853,4.0
1749302434961702442,4.0
1749302434971617984,4.0
1749302434981647754,4.0
1749302434991578668,4.0
1749302435001684350,4.0
1749302435011608542,4.0
1749302435021632938,4.0
1749302435031701569,4.0
1749302435041684977,4.0
1749302435051589349,4.0
1749302435061693510,4.0
1749302435071608126,4.0
1749302435081733949,4.0
1749302435091731981,4.0
1749302435101811317,4.0
1749302435111814127,4.0
1749302435121683725,4.0
1749302435131745174,4.0
1749302435141863015,4.0
1749302435151608098,4.0
1749302435161632653,4.0
1749302435171603055,4.0
1749302435181642737,4.0
1749302435191619118,4.0
1749302435201679244,4.0
1749302435211803591,4.0
1749302435221649775,4.0
1749302435231689309,4.0
1749302435241632775,4.0
1749302435251642886,4.0
1749302435261761017,4.0
1749302435271724310,4.0
1749302435281667306,4.0
1749302435291858708,4.0
1749302435301824565,4.0
1749302435311858065,4.0
1749302435321914546,4.0
1749302435331672408,4.0
1749302435341645356,4.0
1749302435351598270,4.0
1749302435361591636,4.0
1749302435371654052,4.0
1749302435381805874,4.0
1749302435391751232,4.0
1749302435401582159,4.0
1749302435411647977,4.0
1749302435421863038,4.0
1749302435431680906,4.0
1749302435441649088,4.0
