%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1750041702189618454,0,11589,90,-502,-2036
1750041702191580662,0,11589,90,-501,-2035
1750041702193549078,0,11604,90,-519,-2035
1750041702195727023,0,11604,90,-519,-2035
1750041702197577325,0,11584,90,-515,-2036
1750041702199702609,0,11584,90,-515,-2036
1750041702201629301,0,11600,90,-502,-2036
1750041702203682951,0,11600,90,-501,-2036
1750041702205610096,0,11581,90,-555,-2036
1750041702207613053,0,11581,90,-555,-2036
1750041702209564887,0,11581,90,-506,-2035
1750041702211611338,0,11582,91,-506,-2036
1750041702213568293,0,11581,91,-505,-2035
1750041702215628870,0,11580,90,-505,-2035
1750041702217556354,0,11590,90,-516,-2036
1750041702219607690,0,11591,91,-516,-2036
1750041702221599612,0,11589,90,-495,-2036
1750041702223642218,0,11589,90,-495,-2036
1750041702225546423,0,11589,90,-460,-2036
1750041702227630472,0,11590,90,-460,-2036
1750041702229541704,0,11590,90,-510,-2036
1750041702231571444,0,11590,90,-510,-2036
1750041702233618325,0,11590,90,-505,-2036
1750041702235577332,0,11590,90,-505,-2036
1750041702237511174,0,11592,90,-510,-2036
1750041702239557330,0,11592,90,-510,-2036
1750041702241521390,0,11615,90,-430,-2035
1750041702243532684,0,11615,90,-430,-2035
1750041702245517860,0,11592,90,-503,-2035
1750041702247520399,0,11592,90,-503,-2035
1750041702249569025,0,11603,90,-503,-2035
1750041702251609229,0,11603,90,-503,-2035
1750041702253606839,0,11580,90,-525,-2035
1750041702255536247,0,11580,90,-525,-2035
1750041702257531604,0,11586,90,-508,-2035
1750041702259567021,0,11586,90,-507,-2034
1750041702261630860,0,11587,91,-507,-2034
1750041702263619549,0,11587,91,-511,-2034
1750041702265592277,0,11587,91,-511,-2034
1750041702267599421,0,11586,91,-491,-2034
1750041702269592393,0,11585,90,-491,-2034
1750041702271582974,0,11586,90,-517,-2034
1750041702273539227,0,11586,90,-517,-2034
1750041702275609200,0,11593,91,-516,-2034
1750041702277569646,0,11593,91,-516,-2034
1750041702279614774,0,11592,90,-615,-2034
1750041702281581140,0,11592,90,-616,-2034
1750041702283569420,0,11591,90,-524,-2034
1750041702285701054,0,11592,91,-524,-2034
1750041702287566656,0,11591,90,-509,-2034
1750041702289576062,0,11591,90,-509,-2034
1750041702291568406,0,11592,91,-514,-2035
1750041702293634218,0,11591,90,-514,-2035
1750041702295562675,0,11593,90,-510,-2035
1750041702297625511,0,11593,90,-511,-2036
1750041702299569994,0,11587,90,-515,-2036
1750041702301646426,0,11587,90,-515,-2036
1750041702303596790,0,11623,91,-506,-2036
1750041702305573971,0,11624,92,-507,-2037
1750041702307554112,0,11581,91,-512,-2037
1750041702309523270,0,11582,92,-512,-2037
1750041702311540462,0,11596,92,-512,-2037
1750041702313571887,0,11596,92,-512,-2037
1750041702315667464,0,11593,92,-527,-2037
1750041702317558860,0,11593,92,-527,-2037
1750041702319616973,0,11585,92,-491,-2037
1750041702321564327,0,11585,92,-491,-2037
1750041702323553140,0,11593,92,-507,-2037
1750041702325661921,0,11593,93,-508,-2038
1750041702327557490,0,11582,93,-503,-2037
1750041702329562881,0,11582,93,-502,-2037
1750041702331549790,0,11593,93,-502,-2037
1750041702333551969,0,11593,93,-503,-2038
1750041702335629722,0,11593,93,-498,-2037
1750041702337596163,0,11594,93,-498,-2037
1750041702339600748,0,11588,93,-503,-2037
1750041702341575003,0,11588,93,-502,-2037
1750041702343603517,0,11570,92,-525,-2038
1750041702345592055,0,11570,93,-524,-2037
1750041702347667749,0,11570,93,-524,-2037
1750041702349700426,0,11572,93,-487,-2037
1750041702351740720,0,11572,93,-486,-2037
1750041702353659218,0,11578,94,-497,-2037
1750041702355669340,0,11577,93,-497,-2037
1750041702357665056,0,11587,94,-502,-2037
1750041702359685990,0,11586,93,-502,-2037
1750041702361666145,0,11563,93,-502,-2037
1750041702363640694,0,11563,93,-502,-2037
1750041702365608345,0,11568,93,-498,-2038
1750041702367664126,0,11568,93,-496,-2037
1750041702369601924,0,11568,93,-506,-2037
1750041702371618153,0,11568,93,-506,-2037
1750041702373581535,0,11556,93,-496,-2037
1750041702375629603,0,11556,93,-496,-2037
1750041702377599755,0,11562,93,-505,-2037
1750041702379623634,0,11562,93,-505,-2037
1750041702381586444,0,11581,93,-500,-2037
1750041702383626465,0,11581,93,-500,-2037
1750041702385570269,0,11590,93,-509,-2037
1750041702387661112,0,11589,92,-509,-2037
1750041702389588990,0,11560,92,-489,-2037
1750041702391596387,0,11560,92,-489,-2037
1750041702393577597,0,11579,92,-505,-2037
1750041702395570839,0,11578,91,-504,-2037
1750041702397539984,0,11559,91,-504,-2037
1750041702399556903,0,11559,91,-504,-2037
1750041702401563334,0,11608,91,-500,-2037
1750041702403548761,0,11608,91,-500,-2037
1750041702405584010,0,11589,91,-500,-2037
1750041702407571310,0,11588,90,-500,-2037
1750041702409599546,0,11591,90,-498,-2037
1750041702411590240,0,11591,90,-497,-2036
1750041702413622412,0,11575,90,-631,-2036
1750041702415606168,0,11575,90,-633,-2037
1750041702417588893,0,11589,90,-510,-2036
1750041702419603620,0,11589,90,-510,-2036
1750041702421601896,0,11586,90,-520,-2036
1750041702423600816,0,11586,90,-521,-2036
1750041702425600740,0,11566,90,-505,-2036
1750041702427605609,0,11566,90,-505,-2036
1750041702429596535,0,11589,90,-524,-2037
1750041702431598879,0,11589,90,-524,-2037
1750041702433627994,0,11589,90,-524,-2037
1750041702435584745,0,11578,90,-526,-2037
1750041702437664656,0,11578,90,-526,-2037
1750041702439602886,0,11564,90,-512,-2038
1750041702441611286,0,11564,90,-512,-2038
1750041702443543424,0,11597,90,-505,-2038
1750041702445566795,0,11597,90,-505,-2038
1750041702447531906,0,11578,90,-503,-2038
