opos,force
753.0,8.12264192400663
754.0,8.128509246587797
755.0,8.134376569168964
756.0,8.140243891750133
757.0,8.146111214331302
758.0,8.15197853691247
759.0,8.157845859493637
760.0,8.163713182074806
761.0,8.169580504655976
762.0,8.175447827237143
763.0,8.18131514981831
764.0,8.18718247239948
765.0,8.193049794980649
766.0,8.198917117561816
767.0,8.204784440142983
768.0,8.210651762724153
769.0,8.21651908530532
770.0,8.22238640788649
771.0,8.228253730467657
772.0,8.234121053048824
773.0,8.239988375629993
774.0,8.245855698211162
775.0,8.25172302079233
776.0,8.257590343373497
777.0,8.263457665954666
778.0,8.269324988535836
779.0,8.275192311117003
780.0,8.28105963369817
781.0,8.28692695627934
782.0,8.292794278860509
783.0,8.298661601441676
784.0,8.304528924022843
785.0,8.310396246604013
786.0,8.316263569185182
787.0,8.32213089176635
788.0,8.327998214347517
789.0,8.333865536928684
790.0,8.339732859509853
791.0,8.345600182091022
792.0,8.35146750467219
793.0,8.357334827253357
794.0,8.363202149834526
795.0,8.369069472415696
796.0,8.374936794996863
797.0,8.38080411757803
798.0,8.3866714401592
799.0,8.392538762740369
800.0,8.398406085321536
801.0,8.404273407902703
802.0,8.410140730483873
803.0,8.416008053065042
804.0,8.42187537564621
805.0,8.427742698227377
806.0,8.433610020808544
807.0,8.439477343389713
808.0,8.445344665970882
809.0,8.45121198855205
810.0,8.457079311133217
811.0,8.462946633714386
812.0,8.468813956295556
813.0,8.474681278876723
814.0,8.48054860145789
815.0,8.48641592403906
816.0,8.492283246620229
817.0,8.498150569201396
818.0,8.504017891782564
819.0,8.509885214363733
820.0,8.515752536944902
821.0,8.52161985952607
822.0,8.527487182107237
823.0,8.533354504688406
824.0,8.539221827269575
825.0,8.545089149850742
826.0,8.55095647243191
827.0,8.556823795013077
828.0,8.562691117594246
829.0,8.568558440175416
830.0,8.574425762756583
831.0,8.58029308533775
832.0,8.58616040791892
833.0,8.592027730500089
834.0,8.597895053081256
835.0,8.603762375662424
836.0,8.609629698243593
837.0,8.615497020824762
838.0,8.62136434340593
839.0,8.627231665987097
840.0,8.633098988568266
841.0,8.638966311149435
842.0,8.644833633730602
843.0,8.65070095631177
844.0,8.656568278892937
845.0,8.662435601474106
846.0,8.668302924055276
847.0,8.674170246636443
848.0,8.68003756921761
849.0,8.68590489179878
850.0,8.691772214379949
851.0,8.697639536961116
852.0,8.703506859542284
853.0,8.709374182123453
854.0,8.715241504704622
855.0,8.72110882728579
856.0,8.726976149866957
857.0,8.732843472448126
858.0,8.738710795029295
859.0,8.744578117610462
860.0,8.75044544019163
861.0,8.756312762772799
862.0,8.762180085353968
863.0,8.768047407935136
864.0,8.773914730516303
865.0,8.77978205309747
866.0,8.78564937567864
867.0,8.791516698259809
868.0,8.797384020840976
869.0,8.803251343422144
870.0,8.809118666003313
871.0,8.814985988584482
872.0,8.82085331116565
873.0,8.826720633746817
874.0,8.832587956327986
875.0,8.838455278909155
876.0,8.844322601490322
877.0,8.85018992407149
878.0,8.856057246652659
879.0,8.861924569233828
880.0,8.867791891814996
881.0,8.873659214396163
882.0,8.87952653697733
883.0,8.8853938595585
884.0,8.891261182139669
885.0,8.897128504720836
886.0,8.902995827302004
887.0,8.908863149883173
888.0,8.914730472464342
889.0,8.92059779504551
890.0,8.926465117626677
891.0,8.932332440207846
892.0,8.938199762789015
893.0,8.944067085370182
894.0,8.94993440795135
895.0,8.955801730532519
896.0,8.961669053113688
897.0,8.967536375694856
898.0,8.973403698276023
899.0,8.979271020857192
900.0,8.985138343438361
901.0,8.991005666019529
902.0,8.996872988600696
903.0,9.002740311181864
904.0,9.008607633763033
905.0,9.014474956344202
906.0,9.02034227892537
907.0,9.026209601506537
908.0,9.032076924087706
909.0,9.037944246668875
910.0,9.043811569250042
911.0,9.04967889183121
912.0,9.055546214412379
913.0,9.061413536993548
914.0,9.067280859574716
915.0,9.073148182155883
916.0,9.079015504737052
917.0,9.084882827318221
918.0,9.090750149899389
919.0,9.096617472480556
920.0,9.102484795061724
921.0,9.108352117642893
922.0,9.114219440224062
923.0,9.12008676280523
924.0,9.125954085386397
925.0,9.131821407967566
926.0,9.137688730548735
927.0,9.143556053129902
928.0,9.14942337571107
929.0,9.155290698292239
930.0,9.161158020873408
931.0,9.167025343454576
932.0,9.172892666035743
933.0,9.178759988616912
934.0,9.184627311198081
935.0,9.190494633779249
936.0,9.196361956360416
937.0,9.202229278941585
938.0,9.208096601522755
939.0,9.213963924103922
940.0,9.21983124668509
941.0,9.225698569266257
942.0,9.231565891847426
943.0,9.237433214428595
944.0,9.243300537009763
945.0,9.24916785959093
946.0,9.255035182172099
947.0,9.260902504753268
948.0,9.266769827334436
949.0,9.272637149915603
950.0,9.278504472496772
951.0,9.284371795077941
952.0,9.290239117659109
953.0,9.296106440240276
954.0,9.301973762821445
955.0,9.307841085402615
956.0,9.313708407983782
957.0,9.31957573056495
958.0,9.325443053146117
959.0,9.331310375727286
960.0,9.337177698308455
961.0,9.343045020889623
962.0,9.34891234347079
963.0,9.354779666051959
964.0,9.360646988633128
965.0,9.366514311214296
966.0,9.372381633795463
967.0,9.378248956376632
968.0,9.384116278957801
969.0,9.389983601538969
970.0,9.395850924120136
971.0,9.401718246701305
972.0,9.407585569282475
973.0,9.413452891863642
974.0,9.41932021444481
975.0,9.425187537025979
976.0,9.431054859607148
977.0,9.436922182188315
978.0,9.442789504769483
979.0,9.44865682735065
980.0,9.454524149931819
981.0,9.460391472512988
982.0,9.466258795094156
983.0,9.472126117675323
984.0,9.477993440256492
985.0,9.483860762837661
986.0,9.489728085418829
987.0,9.495595407999996
988.0,9.501462730581165
989.0,9.507330053162335
990.0,9.513197375743502
991.0,9.51906469832467
992.0,9.524932020905839
993.0,9.530799343487008
994.0,9.536666666068175
995.0,9.542533988649343
996.0,9.54840131123051
997.0,9.55426863381168
998.0,9.560135956392848
999.0,9.566003278974016
1000.0,9.571870601555183
1001.0,9.577737924136352
1002.0,9.583605246717521
1003.0,9.589472569298689
1004.0,9.595339891879856
1005.0,9.601207214461025
1006.0,9.607074537042195
1007.0,9.612941859623362
1008.0,9.61880918220453
1009.0,9.624676504785699
1010.0,9.630543827366868
1011.0,9.636411149948035
1012.0,9.642278472529203
1013.0,9.648145795110372
1014.0,9.654013117691541
1015.0,9.659880440272708
1016.0,9.665747762853876
1017.0,9.671615085435043
1018.0,9.677482408016212
1019.0,9.683349730597381
1020.0,9.689217053178549
1021.0,9.695084375759716
1022.0,9.700951698340885
1023.0,9.706819020922055
1024.0,9.712686343503222
1025.0,9.71855366608439
1026.0,9.724420988665559
1027.0,9.730288311246728
1028.0,9.736155633827895
1029.0,9.742022956409063
1030.0,9.747890278990232
1031.0,9.753757601571401
1032.0,9.759624924152568
1033.0,9.765492246733736
1034.0,9.771359569314903
1035.0,9.777226891896072
1036.0,9.783094214477241
