%time,field.layout.data_offset,field.data3,field.data1,field.data2,field.data0,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11
1747548029638374371,0,508,0,653,535,270,0,322,511,622,694,693,490
1747548029740297959,0,507,0,653,535,270,0,321,511,622,694,692,488
1747548029838667239,0,509,0,652,537,272,0,320,511,621,694,694,490
1747548029940806540,0,508,1,652,537,271,0,321,512,622,694,693,489
1747548030039700675,0,507,0,652,536,270,0,321,511,622,695,692,489
1747548030141804459,0,508,0,653,537,270,0,321,511,621,695,693,490
1747548030240081557,0,508,0,656,537,271,0,321,512,622,695,692,489
1747548030338339362,0,509,0,648,538,271,0,321,511,621,695,693,489
1747548030440511761,0,508,0,652,538,270,0,321,511,621,694,693,489
1747548030539150863,0,508,0,654,539,270,0,321,512,621,694,692,489
1747548030641469044,0,508,0,653,538,270,0,320,511,621,694,693,489
1747548030740149922,0,508,0,651,538,271,0,321,511,622,694,692,488
1747548030838280830,0,508,0,652,538,272,0,319,511,620,694,693,488
1747548030940314508,0,507,0,652,539,270,0,320,511,621,694,693,490
1747548031038723243,0,507,0,652,538,270,0,321,511,622,694,692,489
1747548031140976833,0,508,0,652,537,271,0,320,510,622,692,692,490
1747548031239449924,0,510,0,653,541,270,0,321,511,621,695,693,489
1747548031337885834,0,508,0,653,538,270,0,320,511,622,692,692,489
1747548031440403510,0,508,4,653,538,272,0,320,511,622,694,692,489
1747548031538814596,0,508,0,652,540,270,0,321,511,622,694,693,489
1747548031641079413,0,507,0,652,538,271,0,316,507,619,693,691,490
1747548031739187212,0,509,0,653,540,270,0,319,509,621,694,692,489
1747548031841389263,0,520,0,653,540,272,0,320,510,621,693,692,489
1747548031939706328,0,507,0,652,541,270,0,320,510,622,693,694,489
1747548032038312292,0,509,0,652,541,271,0,321,510,623,693,691,489
1747548032140553227,0,508,0,652,543,270,0,321,512,622,694,692,489
1747548032238803757,0,508,1,652,542,270,0,321,511,622,695,692,490
1747548032340702422,0,508,0,652,541,270,0,321,511,621,694,691,489
1747548032439753768,0,507,0,652,542,270,0,320,511,620,693,692,489
1747548032538239693,0,508,2,653,542,272,0,320,510,621,693,692,488
1747548032640048675,0,507,0,652,542,271,0,320,512,620,692,691,488
1747548032738796579,0,507,0,653,543,272,0,320,510,620,694,691,488
1747548032841146743,0,507,0,652,542,271,0,320,511,621,693,691,487
1747548032939386757,0,508,0,645,543,271,0,321,510,620,693,691,489
1747548033041643638,0,508,0,652,542,271,0,318,510,621,693,692,488
1747548033140121946,0,508,0,652,542,269,0,320,510,621,693,691,488
1747548033238406954,0,508,1,653,543,271,0,320,510,620,691,691,489
1747548033340583470,0,509,0,653,543,270,0,321,511,621,693,691,487
1747548033439231315,0,508,0,653,540,271,0,321,511,621,692,691,489
1747548033541328005,0,508,0,652,543,270,0,321,510,621,692,691,489
1747548033639640881,0,508,0,651,544,271,0,321,511,621,693,691,488
1747548033738297104,0,507,0,653,541,270,0,320,510,620,691,692,488
1747548033840593842,0,517,0,652,543,271,0,321,511,622,693,691,488
1747548033939085933,0,508,0,652,546,271,0,321,510,620,692,690,488
